Country of Citizenship,Number of Men,Number of Women
Australia,8,5
Austria,12,6
Algeria,29,7
Bhutan,4,2
Hungary,4,3
Ghana,28,13
Greece,13,4
Denmark,7,7
Egypt,20,2
Italy,56,27
Qatar,48,44
Kenya,6,6
Cuba,34,10
Morocco,29,2
Norway,4,6
Belgium,13,2
Bolivia,6,1
Venesuela,33,8
Palestina,12,1
Ireland,4,2
Spain,11,5
Cameroun,7,2
Canada,9,11
Cyprus,9,2
North Corea,12,7
Mavrikiy,30,18
Malavi,4,2
Mongolia,6,4
Mianma,2,1
Namibia,3,8
Nepal,12,3
Holland,15,4
Palau,11,2
Perou,13,6
Portugal,4,2
South Corea,7,8
Roumanie,6,1
Macedonia,7,2
Serbia,13,10
Slovenia,8,2
